Time in milliSecond	x	y	z
9464258	-0.898943	8.499097	6.25174
9464278	-0.612916	8.376513	5.88399
9464291	-0.258787	8.322033	5.380037
9464301	-0.163444	8.281172	5.121251
9464312	-0.095342	8.294792	4.889705
9464323	-0.068102	8.349273	4.835224
9464341	0.040861	8.349273	4.889705
9464350	0.027241	8.417375	5.066769
9464360	-0.054481	8.458236	5.257454
9464373	-0.149824	8.349273	5.148491
9464382	-0.313268	8.376513	5.380037
9464392	-0.367749	8.512717	5.352797
9464402	-0.354129	8.403754	5.775027
9464416	-0.735499	8.335652	6.156397
9464428	-0.422231	8.185829	5.952092
9464439	0.040861	8.21307	5.489
9464448	0.190685	8.21307	5.148491
9464459	0.313268	8.131348	4.753501
9464469	0.354129	8.076866	4.794363
9464481	0.149824	8.076866	5.121251
9464491	-0.095342	8.185829	5.366417
9464501	-0.340509	8.281172	5.352797
9464512	-0.38137	8.526338	5.053149
9464526	-0.38137	8.662541	4.780742
9464535	-0.490333	8.553578	4.630918
9464545	-0.762739	8.430995	5.09401
9464555	-0.735499	8.22669	5.257454
9464567	-0.354129	8.158588	5.448139
9464577	-0.054481	8.22669	5.448139
9464587	0.054481	8.185829	5.529861
9464599	-0.054481	8.117727	5.339176
9464609	-0.122583	8.185829	5.121251
9464619	-0.245166	8.21307	4.69902
9464631	-0.367749	8.090487	4.576437
9464640	-0.490333	8.049625	4.535576
9464651	-0.544814	8.063246	4.644538
9464661	-0.667397	8.158588	5.09401
9464672	-0.912563	8.253931	5.516241
9464682	-1.116868	8.19945	5.911231
9464691	-1.089628	7.995144	6.101916
9464704	-1.048767	7.927042	6.483285
9464714	-1.130489	7.8317	6.605869
9464726	-0.640156	7.777218	6.319841
9464736	-0.136203	7.913422	5.965712
9464746	-0.054481	8.076866	5.611583
9464758	-0.122583	8.117727	5.557102
9464768	-0.272407	8.131348	5.734167
9464779	-0.449471	8.104107	5.625204
9464790	-0.599295	7.886181	5.734167
9464805	-0.40861	7.749978	5.597963
9464816	-0.217926	7.763598	5.761407
9464826	0.027241	7.709117	5.979332
9464836	0.354129	7.627395	6.224499
9464846	0.463092	7.600154	6.714831
9464857	0.517573	7.559293	7.05534
9464867	0.476712	7.545672	6.796554
9464877	0.422231	7.600154	6.170018
9464889	0.585675	7.627395	5.243834
